position,institution,ubication,num_conv,n_vac,wage,begin_date,end_date,id_uuid
"COORDINADOR DE ÁREA TÉCNICA MUNICIPAL
",MUNICIPALIDAD DISTRITAL DE MOCHE,LA LIBERTAD - MOCHE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-005,1,"S/. 2,500.00",04/10/2024,18/10/2024,9bd99e0b-a840-4f5d-ba7b-c09789623c97
"P082024-08 PROFESIONAL EN TURISMO
",UNIVERSIDAD NACIONAL DE TRUJILLO,LA LIBERTAD - MOCHE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-08,1,"S/. 1,514.19",03/10/2024,17/10/2024,83b84b82-55d4-4aa1-afce-fc212a84946f
"CONDUCTOR DE COMPACTA
",MUNICIPALIDAD DISTRITAL DE ALTO TRUJILLO,LA LIBERTAD - EL PORVENIR,728-06,5,"S/. 1,800.00",03/10/2024,17/10/2024,0e00fe73-f0ba-4d53-a397-f680540eddd9
"P082024-01 ENFERMERA
",UNIVERSIDAD NACIONAL DE TRUJILLO,LA LIBERTAD - TRUJILLO,D.LEG 1057 - INDETERMINADO-08,1,"S/. 2,014.19",03/10/2024,17/10/2024,fcdef420-7c19-4275-bf28-e6457474cb51
"P082024-02 ASISTENTE ADMINISTRATIVO
",UNIVERSIDAD NACIONAL DE TRUJILLO,LA LIBERTAD - TRUJILLO,D.LEG 1057 - INDETERMINADO-08,1,"S/. 2,014.19",03/10/2024,17/10/2024,98ad1740-040e-43bb-8795-8a4751f0cc30
"ANALISTA  DE CONTABILIDAD
",EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD ELECTRONORTEMEDIO SOCIEDAD ANONIMA - HIDRANDINA,LA LIBERTAD - TRUJILLO,728-1,1,"S/. 4,000.00",03/10/2024,17/10/2024,20c6a3ee-7f4e-4bcc-be18-e202bbc5c111
"P082024-04 ASISTENTE DE LABORATORIO DE SIMULACIONES
",UNIVERSIDAD NACIONAL DE TRUJILLO,LA LIBERTAD - TRUJILLO,D.LEG 1057 - INDETERMINADO-08,1,"S/. 2,014.19",03/10/2024,17/10/2024,e5ba8811-74ad-4e1c-92b8-a4f6aea65cee
"P082024-03 ASISTENTE EN SERVICIOS EDUCATIVOS
",UNIVERSIDAD NACIONAL DE TRUJILLO,LA LIBERTAD - TRUJILLO,D.LEG 1057 - INDETERMINADO-08,1,"S/. 2,014.19",03/10/2024,17/10/2024,94217ecb-30e5-404d-b74f-08e4f5170151
"AGENTE DE SEGURIDAD CIUDADANA
",MUNICIPALIDAD DISTRITAL DE ALTO TRUJILLO,LA LIBERTAD - TRUJILLO,728-06,4,"S/. 1,200.00",03/10/2024,17/10/2024,37e56e27-30dd-411f-8d73-bd1170e9535a
"P082024-11 AUXILIAR ADMINISTRATIVO
",UNIVERSIDAD NACIONAL DE TRUJILLO,LA LIBERTAD - TRUJILLO,D.LEG 1057 - INDETERMINADO-08,1,"S/. 1,314.19",03/10/2024,17/10/2024,cbc11bbc-64d0-4f13-af20-9e2c32ba5751
"P082024-10 SECRETARIA
",UNIVERSIDAD NACIONAL DE TRUJILLO,LA LIBERTAD - TRUJILLO,D.LEG 1057 - INDETERMINADO-08,1,"S/. 1,314.19",03/10/2024,17/10/2024,5ab89988-5c74-49b2-938d-15568fb47612
"P082024-09 TÉCNICO EN BIBLIOTECA
",UNIVERSIDAD NACIONAL DE TRUJILLO,LA LIBERTAD - TRUJILLO,D.LEG 1057 - INDETERMINADO-08,1,"S/. 1,414.19",03/10/2024,17/10/2024,8c125d4f-5fe4-4e17-83e3-594897078ca1
"P082024-07 ASISTENTE LEGAL
",UNIVERSIDAD NACIONAL DE TRUJILLO,LA LIBERTAD - TRUJILLO,D.LEG 1057 - INDETERMINADO-08,1,"S/. 1,614.19",03/10/2024,17/10/2024,15822163-285b-4c0f-be11-120d9a0b356f
"P082024-06 TÉCNICO DE LABORATORIO
",UNIVERSIDAD NACIONAL DE TRUJILLO,LA LIBERTAD - TRUJILLO,D.LEG 1057 - INDETERMINADO-08,1,"S/. 1,614.19",03/10/2024,17/10/2024,0cf8e449-534f-4787-a4e2-802ef4e1855b
"P082024-05 ASISTENTE DE SEGURIDAD Y SALUD EN EL TRABAJO
",UNIVERSIDAD NACIONAL DE TRUJILLO,LA LIBERTAD - TRUJILLO,D.LEG 1057 - INDETERMINADO-08,1,"S/. 1,814.19",03/10/2024,17/10/2024,590e7a8d-912d-4c88-8613-405fb90f48a2
"TRABAJADOR DE SERVICIO
",UNIDAD DE GESTION EDUCATIVA LOCAL N° 03 UNIDAD EJECUTORA EDUCACION 315: TRUJILLO NOR OESTE,LA LIBERTAD - TRUJILLO,276-008,1,"S/. 2,321.65",02/10/2024,16/10/2024,350b48dc-cbc3-45e6-8777-49b1f0231a67
"TRABAJADOR DE SERVICIO II
",UNIDAD DE GESTION EDUCATIVA LOCAL N° 03 UNIDAD EJECUTORA EDUCACION 315: TRUJILLO NOR OESTE,LA LIBERTAD - TRUJILLO,276-006,1,"S/. 2,321.65",02/10/2024,16/10/2024,7705a032-955c-4221-a3c9-a938dd6c4393
"ESPECIALISTA LEGAL II
",SUPERINTENDENCIA NACIONAL DE FISCALIZACION LABORAL - SUNAFIL,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-224,1,"S/. 4,000.00",02/10/2024,16/10/2024,517c45bc-ec87-4095-864d-b6dce8493c3e
"ASISTENTE INTERMEDIO DE SANIDAD E INOCUIDAD - TERCERA CONVOCATORIA
",SERVICIO NACIONAL DE SANIDAD AGRARIA,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-638,1,"S/. 2,214.19",02/10/2024,16/10/2024,246ca002-f1c9-4303-9b4a-bd3961181efc
"ASISTENTE INTERMEDIO DE SANIDAD E INOCUIDAD-TERCERA CONVOCATORIA
",SERVICIO NACIONAL DE SANIDAD AGRARIA,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-662,1,"S/. 2,214.19",02/10/2024,16/10/2024,f882ad2b-621d-4dba-8414-100eac1fd95e
"TRABAJADOR DE SERVICIO III
",UNIDAD DE GESTION EDUCATIVA LOCAL N° 03 UNIDAD EJECUTORA EDUCACION 315: TRUJILLO NOR OESTE,LA LIBERTAD - VICTOR LARCO HERRERA,276-007,1,"S/. 2,321.65",02/10/2024,16/10/2024,9a39b0d3-fddf-4688-a35f-ba43727ac01c
"OFICINISTA
",UNIDAD DE GESTION EDUCATIVA LOCAL N° 03 UNIDAD EJECUTORA EDUCACION 315: TRUJILLO NOR OESTE,LA LIBERTAD - TRUJILLO,276-009,1,"S/. 2,321.65",02/10/2024,16/10/2024,766aae0f-4be8-4e58-8d5f-9f6c66a9324d
"ESPECIALISTA EN TECNOLOGIAS DE LA INFORMACION
",MUNICIPALIDAD PROVINCIAL DE PATAZ,LA LIBERTAD - TAYABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-9,1,"S/. 3,800.00",01/10/2024,15/10/2024,50b27e7e-eadf-4f44-9dfc-b31fd98ac094
"INSPECTOR MUNICIPAL DE TRANSPORTE
",MUNICIPALIDAD PROVINCIAL DE PATAZ,LA LIBERTAD - TAYABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-9,3,"S/. 1,500.00",01/10/2024,15/10/2024,28629d97-09b2-446c-bbb7-c811beb9f96f
"ASISTENTE ADMINISTRATIVO DE LA OFICINA DE RIESGOS Y DESASTRES
",MUNICIPALIDAD PROVINCIAL DE PATAZ,LA LIBERTAD - TAYABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-9,1,"S/. 2,300.00",01/10/2024,15/10/2024,2956cef5-fa8a-40f3-a607-a6b6cd11973f
"AUXILIAR EN ARCHIVO
",PROGRAMA NACIONAL CUNA MAS,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1171,1,"S/. 1,614.19",01/10/2024,15/10/2024,5c8b5fd0-81c3-4533-bbe6-8f1ddb7612b3
"JEFE DE LA OFICINA DE RIEGOS Y DESASTRES
",MUNICIPALIDAD PROVINCIAL DE PATAZ,LA LIBERTAD - TAYABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-9,1,"S/. 4,300.00",01/10/2024,15/10/2024,ea5bdd37-f1c9-4319-a111-1916f5aa7a04
"COORDINADOR PARA EL SERVICIO DE ACOMPAÑAMIENTO A FAMILIAS
",PROGRAMA NACIONAL CUNA MAS,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-1176,1,"S/. 3,614.19",01/10/2024,15/10/2024,745e0bfb-a4f2-41cf-9431-ba9a896ed956
"TECNICO (A) EN ENFERMERIA
",RED DE SALUD OTUZCO,LA LIBERTAD - OTUZCO,276-004,1,"S/. 2,755.00",30/09/2024,14/10/2024,c82ca1b3-a435-4a69-ae9b-171ef3f3e0d5
"ENFERMERO (A)
",RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SANTIAGO DE CHUCO,276-1,1,"S/. 5,300.00",30/09/2024,14/10/2024,eab8bb83-4de5-4858-bf06-e59b871ba477
"TRABAJADOR DE SERVICIO
",UNIDAD DE GESTION EDUCATIVA LOCAL 04 - TRUJILLO SUR ESTE,LA LIBERTAD - TRUJILLO,276-1,1,"S/. 2,321.00",30/09/2024,14/10/2024,4e3aedae-c221-4337-896f-dbb3ae516595
"TECNICO EN ENFERMERIA
",RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SITABAMBA,276-1,1,"S/. 2,755.00",30/09/2024,14/10/2024,7a495826-b89d-47fa-931c-8967a45b0715
"MEDICO CIRUJANO
",RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - QUIRUVILCA,276-1,1,"S/. 6,624.00",30/09/2024,14/10/2024,06c1f101-8288-4976-86d6-fb14c936240f
"MEDICO CIRUJANO
",RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - MOLLEPATA,276-1,1,"S/. 6,624.00",30/09/2024,14/10/2024,7774e278-ad84-45fd-944d-6a6318a17ee3
"OBSTETRA
",RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - MOLLEPATA,276-1,1,"S/. 5,300.00",30/09/2024,14/10/2024,1eff4206-f0b2-4791-bc8a-58d5ccf86991
"TECNICO ASISTENCIAL
",RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - CACHICADAN,276-1,1,"S/. 2,755.00",30/09/2024,14/10/2024,505cc7f5-1b4f-415e-8988-f117b88f7626
"ENFERMERO (A)
",RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - ANGASMARCA,276-1,1,"S/. 5,300.00",30/09/2024,14/10/2024,1e6c707e-3e3e-459f-8446-d2999c40ec2a
"OBSTETRA
",RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - ANGASMARCA,276-1,1,"S/. 5,300.00",30/09/2024,14/10/2024,a28c9996-e7d3-4046-9c65-fb94435be4ed
"ENFERMERO (A)
",RED DE SALUD OTUZCO,LA LIBERTAD - OTUZCO,276-004,1,"S/. 5,300.00",30/09/2024,14/10/2024,046234f9-2e0f-4514-8550-08223419c8cf
"MEDICO ESPECIALISTA EN GINECOLOGIA Y OBSTETRICIA
",RED DE SALUD OTUZCO,LA LIBERTAD - AGALLPAMPA,276-004,1,"S/. 6,624.00",30/09/2024,14/10/2024,a103dec4-c594-4678-992e-85014d4886b5
"ENFERMERO (A)
",RED DE SALUD OTUZCO,LA LIBERTAD - HUARANCHAL,276-004,1,"S/. 5,300.00",30/09/2024,14/10/2024,c968b1e0-79c6-4e5e-93ec-8fd65b25771d
"ENFERMERO (A)
",RED DE SALUD OTUZCO,LA LIBERTAD - SALPO,276-004,1,"S/. 5,300.00",30/09/2024,14/10/2024,878e08ee-3d51-4fe4-860a-96add7c87919
"OBSTETRA
",RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SANTIAGO DE CHUCO,276-1,1,"S/. 5,300.00",30/09/2024,14/10/2024,591c2b4d-6805-45b2-ba2d-6d647ff95ee3
"OBSTETRA
",RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SANTIAGO DE CHUCO,276-1,1,"S/. 5,300.00",30/09/2024,14/10/2024,7f266aea-2dd7-443b-8079-b9445d2ddaae
"MEDICO CIRUJANO
",RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SANTIAGO DE CHUCO,276-1,1,"S/. 6,624.00",30/09/2024,14/10/2024,f9a1806a-d3cf-4d44-91d3-23dbe490d89c
"TRABAJADORA SOCIAL
",RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SANTIAGO DE CHUCO,276-1,1,"S/. 5,300.00",30/09/2024,14/10/2024,b8b0e35a-78f4-46a8-8eb9-1bd322da1629
"TECNICO EN ENFERMERIA
",RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SANTIAGO DE CHUCO,276-1,2,"S/. 2,755.00",30/09/2024,14/10/2024,b46cbb3c-a1d4-4267-838f-6c86f5f23899
"TECNICO EN ENFERMERIA
",RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SANTIAGO DE CHUCO,276-1,4,"S/. 2,755.00",30/09/2024,14/10/2024,c17a93d0-434a-45be-8d55-7175943bcb0a
"MEDICO CIRUJANO
",RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SANTIAGO DE CHUCO,276-1,1,"S/. 6,624.00",30/09/2024,14/10/2024,0c3bffb4-707a-4385-b888-73b3a6b6b779
"MEDICO CIRUJANO
",RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SANTIAGO DE CHUCO,276-1,1,"S/. 6,624.00",30/09/2024,14/10/2024,75c7f520-d6d8-477b-b83e-7c99555eecde
"MEDICO CIRUJANO
",RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SANTIAGO DE CHUCO,276-1,1,"S/. 6,624.00",30/09/2024,14/10/2024,9487e95e-1072-4e5d-84bc-f88065b90769
"INSTRUMENTISTA DE TROMPETA PARA LA ORQUESTA SINFÓNICA DE TRUJILLO
",UNIDAD EJECUTORA 009: LA LIBERTAD,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-020,1,"S/. 3,914.00",30/09/2024,14/10/2024,579168bb-8a9b-4318-a7e0-eec8bf18f715
"MEDICO
",UNIDAD EJECUTORA 412 SALUD VIRU,LA LIBERTAD - VIRU,276-2,1,"S/. 6,624.00",27/09/2024,11/10/2024,2510b494-49a4-4f5f-bc19-01e33478b011
"TECNICO EN LABORATORIO
",UNIDAD EJECUTORA 412 SALUD VIRU,LA LIBERTAD - VIRU,276-2,1,"S/. 2,755.00",27/09/2024,11/10/2024,87e014df-ab67-4306-9b68-5b6cfaf23e96
"TRABAJADOR DE SERVICIOS GENERALES
",UNIDAD EJECUTORA 412 SALUD VIRU,LA LIBERTAD - VIRU,276-2,1,"S/. 2,312.50",27/09/2024,11/10/2024,36992fa4-acfc-42a6-a5ee-f6cfd901c640
"MEDICO ANESTESIÓLOGO
",INSTITUTO REGIONAL DE OFTALMOLOGIA,LA LIBERTAD - TRUJILLO,D.LEG 1057 - INDETERMINADO-11,1,"S/. 5,500.00",27/09/2024,11/10/2024,17fc5475-289c-47ef-b83e-a370e55200e9
"SECRETARIO/A
",INSTITUTO REGIONAL DE OFTALMOLOGIA,LA LIBERTAD - TRUJILLO,D.LEG 1057 - INDETERMINADO-11,1,"S/. 1,200.00",27/09/2024,11/10/2024,ea4a9353-6f0c-4bd1-a60d-fd467f8fe484
"TRABAJADOR/A DE SERVICIOS GENERALES
",INSTITUTO REGIONAL DE OFTALMOLOGIA,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-11,1,"S/. 1,200.00",27/09/2024,11/10/2024,ec750a7f-b7a6-4ee5-b483-770cabf106b3
"TÉCNICOS DE CAMPO FORESTALES Y DE FAUNA SILVESTRE
",GERENCIA REGIONAL DE AGRICULTURA,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-009,36,"S/. 3,000.00",27/09/2024,11/10/2024,573caebb-e858-4ee4-b96f-61d3f35bacdf
"DIGITADOR/A
",INSTITUTO REGIONAL DE OFTALMOLOGIA,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-11,1,"S/. 1,200.00",27/09/2024,11/10/2024,86b35b41-c267-4cac-aa06-f846ca8a4caf
"ESPECIALISTA ADMINISTRATIVO II
",GERENCIA REGIONAL DE EDUCACION LA LIBERTAD,LA LIBERTAD - TRUJILLO,276-4,1,"S/. 2,300.00",27/09/2024,11/10/2024,0da74522-6b04-4d63-81ff-a7578aefe947
"MEDICO
",UNIDAD EJECUTORA 412 SALUD VIRU,LA LIBERTAD - VIRU,276-002,2,"S/. 6,624.00",27/09/2024,11/10/2024,1a7c264e-a597-4ed9-8c9c-e5e994823a01
"OPERADOR PAD II
",GERENCIA REGIONAL DE EDUCACION LA LIBERTAD,LA LIBERTAD - TRUJILLO,276-4,1,"S/. 1,930.00",27/09/2024,11/10/2024,1f768d58-df12-4126-b31b-ecc6d4d2c827
"INGENIERO ZOOTECNISTA Y/O MEDICO VETERINARIO
",DIRECCION REGIONAL DE AGRICULTURA HUANUCO,HUANUCO - LLATA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-006,1,"S/. 2,149.19",11/10/2024,24/10/2024,d0cf1455-6d98-4941-b671-dfa4d0915eb3
"ASISTENTE ADMINISTRATIVO
",MUNICIPALIDAD DISTRITAL DE PILLCO MARCA,HUANUCO - PILLCO MARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-5,1,"S/. 1,250.00",11/10/2024,24/10/2024,0b9f7ed0-9417-4513-9777-ca63281d7144
"TRABAJADOR/A SOCIAL
",PODER JUDICIAL,HUANUCO - RUPA-RUPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-039,1,"S/. 2,500.00",11/10/2024,24/10/2024,4cfa45a5-0907-4e71-b13e-3e5d5d06ae83
"TRABAJADOR(A) SOCIAL
",PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,HUANUCO - RUPA-RUPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-260,1,"S/. 3,500.00",11/10/2024,24/10/2024,e7140264-64aa-433c-b894-3d12b367ab8c
"PERSONAL DE ATENCIÓN PERMANENTE
",PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,HUANUCO - RUPA-RUPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-256,8,"S/. 2,000.00",11/10/2024,24/10/2024,5221e597-2b24-415e-8e3d-c26c1f9504d8
"ESPECIALISTA FORESTAL
",DIRECCION REGIONAL DE AGRICULTURA HUANUCO,HUANUCO - RUPA-RUPA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-006,1,"S/. 5,114.19",11/10/2024,24/10/2024,2b528693-34e7-4c30-b0c4-52a8d40cf7f3
"TRABAJADOR(A) SOCIAL
",PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,HUANUCO - HUANUCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-260,1,"S/. 3,500.00",11/10/2024,24/10/2024,69ba4e73-f306-44c9-9e2a-a8410b1d3bd1
"PERSONAL DE ATENCION PERMANENTE
",PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,HUANUCO - HUANUCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-260,5,"S/. 2,000.00",11/10/2024,24/10/2024,ba3a64ff-0663-46e5-99d1-9f03e32f3d32
"ORIENTADOR/A DEL CENTRO MAC HUÁNUCO (SEGUNDA CONVOCATORIA)
",PRESIDENCIA DEL CONSEJO DE MINISTROS,HUANUCO - HUANUCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-219,1,"S/. 2,500.00",11/10/2024,24/10/2024,bfe0e10e-5ccf-45d4-8abc-cd2e990e0de0
"CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) DOCENTE PARA LA ENSEÑANZA DE LA ASIGNATURA DE FÍSICA PARA EL COLEGIO DE ALTO RENDIMIENTO DE LA REGIÓN HUANUCO - PLAZO DETERMINADO (005154)
",MINISTERIO DE EDUCACION,HUANUCO - HUANUCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-821,1,"S/. 4,500.00",11/10/2024,24/10/2024,244bacf6-8507-4117-9269-3183d05f1b68
"ANALISTA DE PROYECTOS (HUÁNUCO-SAN MARTÍN-UCAYALI)
",MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,HUANUCO - HUANUCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-882,1,"S/. 5,114.19",11/10/2024,24/10/2024,a6274c62-7b53-4053-b0f6-377f0e9c769b
"INGENIERO FORESTAL III
",DIRECCION REGIONAL DE AGRICULTURA HUANUCO,HUANUCO - AMARILIS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-006,1,"S/. 3,514.19",11/10/2024,24/10/2024,aee3108a-a484-48cf-8816-d17d6917a3d0
"INGENIERO FORESTAL III
",DIRECCION REGIONAL DE AGRICULTURA HUANUCO,HUANUCO - AMARILIS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-006,1,"S/. 3,514.19",11/10/2024,24/10/2024,b8ce7b3f-d439-4779-950a-fdce41165c67
"ESPECIALISTA LEGAL FORESTAL
",DIRECCION REGIONAL DE AGRICULTURA HUANUCO,HUANUCO - AMARILIS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-006,1,"S/. 3,514.19",11/10/2024,24/10/2024,ad289f14-069d-4bf3-a11f-a607af841f99
"ESPECIALISTA FORESTAL
",DIRECCION REGIONAL DE AGRICULTURA HUANUCO,HUANUCO - AMARILIS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-006,1,"S/. 5,114.19",11/10/2024,24/10/2024,ce385cf0-ad6a-4068-a15d-54288cfa045c
"ESPECIALISTA ADMINISTRATIVO
",DIRECCION REGIONAL DE AGRICULTURA HUANUCO,HUANUCO - AMARILIS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-006,1,"S/. 3,614.19",11/10/2024,24/10/2024,bae3b0e3-9123-4745-8f40-d4bc975f60c2
"TECNICO FORESTAL
",DIRECCION REGIONAL DE AGRICULTURA HUANUCO,HUANUCO - PUERTO INCA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-006,1,"S/. 2,814.19",11/10/2024,24/10/2024,ce2bf73f-7663-42be-9a22-54608076993b
"TECNICO FORESTAL
",DIRECCION REGIONAL DE AGRICULTURA HUANUCO,HUANUCO - PUERTO INCA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-006,1,"S/. 2,814.19",11/10/2024,24/10/2024,7c21ab4a-7080-417f-a39d-4dbaefc891cf
"INGENIERO FORESTAL III
",DIRECCION REGIONAL DE AGRICULTURA HUANUCO,HUANUCO - PUERTO INCA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-006,1,"S/. 3,514.19",11/10/2024,24/10/2024,35080b0e-cbf1-4846-829d-cbf3db24017d
"ESPECIALISTA FORESTAL
",DIRECCION REGIONAL DE AGRICULTURA HUANUCO,HUANUCO - PUERTO INCA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-006,1,"S/. 5,114.19",11/10/2024,24/10/2024,a71ace25-f1e8-44cd-aabb-09316f43131e
"TECNICO FISCALIZADOR II
",MUNICIPALIDAD DISTRITAL DE PILLCO MARCA,HUANUCO - PILLCO MARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,1,"S/. 1,250.00",11/10/2024,24/10/2024,da212a8c-659d-457e-92d2-8cd3882e3a86
"TECNICO EN FICHAS CATASTRALES
",MUNICIPALIDAD DISTRITAL DE PILLCO MARCA,HUANUCO - PILLCO MARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,1,"S/. 1,250.00",11/10/2024,24/10/2024,37748903-fab2-4485-bced-9e26f01c48ca
"TECNICO ADMINISTRATIVO II
",MUNICIPALIDAD DISTRITAL DE PILLCO MARCA,HUANUCO - PILLCO MARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,1,"S/. 1,250.00",11/10/2024,24/10/2024,0b31d213-165b-49d7-8dd5-84f0a63a4d60
"TECNICO ADMINISTRATIVO - CODISEC
",MUNICIPALIDAD DISTRITAL DE PILLCO MARCA,HUANUCO - PILLCO MARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,1,"S/. 1,500.00",11/10/2024,24/10/2024,f32bc960-73a6-496b-b02b-0baf47cc57cd
"TECNICO ADMINISTRATIVO
",MUNICIPALIDAD DISTRITAL DE PILLCO MARCA,HUANUCO - PILLCO MARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,1,"S/. 1,250.00",11/10/2024,24/10/2024,803363f6-3a1d-442d-8bdf-8704afa96927
"SERENAZGO
",MUNICIPALIDAD DISTRITAL DE PILLCO MARCA,HUANUCO - PILLCO MARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,6,"S/. 1,250.00",11/10/2024,24/10/2024,3bbbade4-6b92-4e08-8af7-dfa9d36778bb
"SECRETARIA - PAD
",MUNICIPALIDAD DISTRITAL DE PILLCO MARCA,HUANUCO - PILLCO MARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,1,"S/. 1,400.00",11/10/2024,24/10/2024,414db430-983d-40f3-b237-1f7c2cf0a175
"PROMOTOR EN SALUD
",MUNICIPALIDAD DISTRITAL DE PILLCO MARCA,HUANUCO - PILLCO MARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,1,"S/. 1,600.00",11/10/2024,24/10/2024,7844219a-b9f2-4cab-b3e2-6fce73ddeed5
"PROFESIONAL EN SEGREGACION Y RECOLECCION SELECTIVA
",MUNICIPALIDAD DISTRITAL DE PILLCO MARCA,HUANUCO - PILLCO MARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,1,"S/. 1,550.00",11/10/2024,24/10/2024,ecc14ac2-634c-4838-99e8-2c1898209ec4
"INSPECTOR TECNICO DE SEGURIDAD EN EDIFICACIONES (ITSE)-BASICO
",MUNICIPALIDAD DISTRITAL DE PILLCO MARCA,HUANUCO - PILLCO MARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,1,"S/. 1,600.00",11/10/2024,24/10/2024,57cd18b8-378d-4c31-ba67-25935a7f47e0
"FIZCALIZADOR AMBIENTAL
",MUNICIPALIDAD DISTRITAL DE PILLCO MARCA,HUANUCO - PILLCO MARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,1,"S/. 1,220.00",11/10/2024,24/10/2024,9ba9e70a-3a1b-42ee-9d83-0a10b8d8f05e
"FISCALIZADOR DE DESARROLLO ECONOMICO
",MUNICIPALIDAD DISTRITAL DE PILLCO MARCA,HUANUCO - PILLCO MARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,1,"S/. 1,220.00",11/10/2024,24/10/2024,01636d51-f30d-4e11-82c2-037f5aca25da
